iter	Passed	Remaining
0	1908	5722496
1	3723	5581498
2	5375	5370546
3	7287	5458282
4	9114	5459738
5	10970	5474182
6	12762	5456721
7	14439	5400409
8	15939	5297120
9	17727	5300502
10	19418	5276652
11	21070	5246456
12	22834	5246714
13	24554	5237204
14	26510	5275492
15	28376	5292247
16	30137	5288258
17	31999	5301176
18	33910	5320404
19	73118	10894712
20	75142	10659503
21	76935	10414308
22	78528	10164362
23	80366	9965399
24	82259	9788842
25	83697	9573725
26	85550	9420106
27	87248	9260855
28	88877	9105343
29	90553	8964795
30	92438	8853224
31	94009	8719401
32	95648	8599640
33	97720	8524707
34	99436	8423723
35	101167	8329436
36	103008	8249015
37	104930	8179048
38	106609	8094156
39	109260	8085283
40	111220	8026843
41	113083	7964320
42	114906	7901812
43	116784	7845818
44	118673	7792900
45	120720	7752359
46	122519	7697891
47	124146	7634982
48	126059	7591888
49	128522	7582829
50	130669	7555775
51	132568	7515601
52	134679	7488708
53	136230	7432145
54	137881	7382951
55	139935	7356622
56	141870	7325016
57	143767	7292503
58	145698	7262698
59	147578	7231353
60	149405	7198382
61	151160	7163037
62	153263	7145017
63	155120	7116161
64	157084	7092980
65	158946	7065898
66	160935	7045119
67	163031	7029537
68	164702	6996286
69	166671	6976388
70	168533	6952603
71	170326	6926592
72	172191	6904180
73	174253	6890079
74	176259	6874104
75	178431	6864932
76	180263	6842990
77	182094	6821528
78	183874	6798698
79	185706	6778293
80	187762	6766407
81	189482	6742788
82	191282	6722557
83	193005	6700041
84	194827	6681428
85	196679	6664247
86	198477	6645580
87	200198	6624744
88	202036	6608167
89	203800	6589554
90	205526	6570057
91	207486	6558390
92	209387	6545062
93	211220	6529871
94	213112	6516762
95	214796	6497596
96	216464	6478325
97	218212	6461751
98	219696	6437770
99	221470	6422657
100	223007	6400977
101	224866	6388846
102	226399	6367768
103	228126	6352440
104	229702	6333237
105	231176	6311564
106	232924	6297674
107	234687	6284402
108	236493	6272494
109	238223	6258780
110	240098	6249049
111	241692	6232205
112	243676	6225604
113	245659	6219071
114	247538	6209981
115	249267	6197307
116	251155	6188732
117	252674	6171246
118	254515	6161837
119	256581	6157965
120	258526	6151232
121	260011	6133723
122	261759	6122607
123	263350	6108021
124	265035	6095810
125	266671	6082660
126	268434	6072531
127	270197	6062549
128	272124	6056344
129	273955	6048095
130	275816	6040601
131	277549	6030387
132	279573	6026586
133	281408	6018775
134	283001	6005913
135	284839	5998379
136	286703	5991480
137	288743	5988281
138	290321	5975610
139	292024	5965648
140	293949	5960288
141	295851	5954539
142	297656	5946889
143	299129	5932727
144	301004	5926676
145	302993	5922903
146	304807	5915758
147	306659	5909414
148	308625	5905317
149	310345	5896558
150	312272	5891814
151	313886	5881246
152	315844	5877181
153	317501	5867600
154	319407	5862665
155	321443	5860162
156	323476	5857604
157	325337	5851958
158	326979	5842450
159	328690	5834258
160	330723	5831832
161	332457	5824167
162	334216	5816999
163	336223	5814212
164	337961	5806798
165	339666	5798878
166	341405	5791635
167	343697	5793751
168	345898	5794311
169	347932	5792058
170	349808	5787185
171	351851	5785098
172	353711	5780011
173	355587	5775238
174	357340	5768489
175	359022	5760681
176	360663	5752270
177	362505	5747142
178	364543	5745124
179	366336	5739266
180	368020	5731762
181	369813	5726014
182	371689	5721586
183	373575	5717322
184	375242	5709766
185	376944	5702808
186	378632	5695683
187	380706	5694400
188	382655	5691234
189	384271	5683165
190	385872	5674947
191	387749	5670832
192	389188	5660378
193	390901	5653970
194	392881	5651450
195	394485	5643564
196	396312	5638904
197	398234	5635618
198	400102	5631597
199	401915	5626820
200	404039	5626395
201	405798	5620914
202	407544	5615273
203	409484	5612341
204	411397	5609052
205	413237	5604784
206	415058	5600278
207	416782	5594505
208	418841	5593236
209	420892	5591857
210	422677	5586950
211	424475	5582247
212	426434	5579685
213	428255	5575320
214	430092	5571198
215	431574	5562521
216	433388	5558163
217	435126	5552852
218	436813	5546926
219	438741	5544100
220	440667	5541241
221	442365	5535549
222	444179	5531331
223	446135	5528894
224	448024	5525638
225	449848	5521586
226	451925	5520660
227	453825	5517557
228	455724	5514466
229	457367	5508290
230	459191	5504336
231	460865	5498600
232	462752	5495430
233	464709	5493104
234	466640	5490475
235	468386	5485681
236	470370	5483686
237	472305	5481124
238	474102	5476971
239	475872	5472538
240	477636	5468048
241	479316	5462626
242	481260	5460223
